링크,이름,가격
https://m.bobaedream.co.kr/mycar/mview/2227148/K/26/1/,르노코리아(삼성) SM6 1.6 터보 LE,920만원
https://m.bobaedream.co.kr/mycar/mview/2227144/I/81/1/,인피니티 Q30 2.0T 프리미엄,"1,200만원"
https://m.bobaedream.co.kr/mycar/mview/2228953/K/49/1/,현대 뉴 에쿠스 5.0 VS500 프레스티지,499만원
https://m.bobaedream.co.kr/mycar/mview/2233891/K/49/1/,현대 그랜드스타렉스 2.5 디젤 밴 3인승 2WD CVX 럭셔리,480만원
https://m.bobaedream.co.kr/mycar/mview/2233888/K/49/1/,현대 그랜저HG 300 LPi 프라임,480만원
https://m.bobaedream.co.kr/mycar/mview/2232738/K/49/1/,현대 포터2 CRDi 슈퍼캡 초장축 SUP 일반형,690만원
https://m.bobaedream.co.kr/mycar/mview/2231928/K/49/1/,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD CVX 프리미엄,550만원
https://m.bobaedream.co.kr/mycar/mview/2230986/K/49/1/,현대 포터2 CRDi 더블캡 초장축 SUP 고급형,520만원
https://m.bobaedream.co.kr/mycar/mview/2228156/K/49/1/,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 3인승 스타일,"1,170만원"
https://m.bobaedream.co.kr/mycar/mview/2226655/K/3/1/,기아 더 뉴 K7 2.4 프레스티지 스페셜,510만원
https://m.bobaedream.co.kr/mycar/mview/2236582/K/3/1/,기아 더 뉴 스포티지R 2.0 디젤 2WD 트렌디,610만원
https://m.bobaedream.co.kr/mycar/mview/2236889/K/3/1/,기아 봉고3 킹캡 초장축 L,"1,390만원"
https://m.bobaedream.co.kr/mycar/mview/2236891/K/49/1/,현대 포터2 일렉트릭 슈퍼캡 초장축 프리미엄 스페셜 (19년~현재),"1,980만원"
https://m.bobaedream.co.kr/mycar/mview/2237367/K/3/1/,기아 봉고3 CRDi 킹캡 초장축 럭셔리,620만원
https://m.bobaedream.co.kr/mycar/mview/2237368/K/31/1/,KG모빌리티(쌍용) 더 뉴 코란도 스포츠 2.2 디젤 4WD CX7 클럽,610만원
